t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
848472495,848472495,1133759761,991082278,1
869023836,869023836,1133759761,991082278,1
889076043,889076043,1133759761,991082278,1
909677398,909677398,1133759761,991082278,1
930305527,930305527,1133759761,991082278,1
950310151,950310151,1133759761,991082278,1
970680359,970680359,1133759761,991082278,1
991082278,991082278,1133759761,991082278,1
1011253337,1011253337,1133759761,991082278,1
1031855619,1031855619,1133759761,991082278,1
1052169293,1052169293,1133759761,991082278,1
1072627154,1072627154,1133759761,991082278,1
1093116421,1093116421,1133759761,991082278,1
1113270157,1113270157,1133759761,991082278,1
1133759761,1133759761,1133759761,991082278,0
483042043,483042043,1153960447,991082278,1
503840304,503840304,1153960447,991082278,1
523954424,523954424,1153960447,991082278,1
544120304,544120304,1153960447,991082278,1
564280953,564280953,1153960447,991082278,1
584359045,584359045,1153960447,991082278,1
604537710,604537710,1153960447,991082278,1
625119245,625119245,1153960447,991082278,1
645431581,645431581,1153960447,991082278,1
665822658,665822658,1153960447,991082278,1
686201757,686201757,1153960447,991082278,1
706364932,706364932,1153960447,991082278,1
726833293,726833293,1153960447,991082278,1
746925046,746925046,1153960447,991082278,1
766966843,766966843,1153960447,991082278,1
786988043,786988043,1153960447,991082278,1
807604900,807604900,1153960447,991082278,1
828282576,828282576,1153960447,991082278,1
848472495,848472495,1153960447,991082278,1
869023836,869023836,1153960447,991082278,1
889076043,889076043,1153960447,991082278,1
909677398,909677398,1153960447,991082278,1
930305527,930305527,1153960447,991082278,1
950310151,950310151,1153960447,991082278,1
970680359,970680359,1153960447,991082278,1
991082278,991082278,1153960447,991082278,1
1011253337,1011253337,1153960447,991082278,1
1031855619,1031855619,1153960447,991082278,1
1052169293,1052169293,1153960447,991082278,1
1072627154,1072627154,1153960447,991082278,1
1093116421,1093116421,1153960447,991082278,1
1113270157,1113270157,1153960447,991082278,1
1133759761,1133759761,1153960447,991082278,1
1153960447,1153960447,1153960447,991082278,0
483042043,483042043,1174016487,1113270157,1
503840304,503840304,1174016487,1113270157,1
523954424,523954424,1174016487,1113270157,1
544120304,544120304,1174016487,1113270157,1
564280953,564280953,1174016487,1113270157,1
584359045,584359045,1174016487,1113270157,1
604537710,604537710,1174016487,1113270157,1
625119245,625119245,1174016487,1113270157,1
645431581,645431581,1174016487,1113270157,1
665822658,665822658,1174016487,1113270157,1
686201757,686201757,1174016487,1113270157,1
706364932,706364932,1174016487,1113270157,1
726833293,726833293,1174016487,1113270157,1
746925046,746925046,1174016487,1113270157,1
766966843,766966843,1174016487,1113270157,1
786988043,786988043,1174016487,1113270157,1
